ID_image,ID_genome,wingcm,Angle,
AR2513,SRR11471452,0.766320952,2.279,finished
AR0606,SRR11471583,0.781055709,-3.27,10270304
AR1106,SRR11471542,0.782685853,0.964,finished
CA0502,SRR11471659,0.784798959,3.865,finished
AR2901,SRR11471422,0.785468036,7.873,finished
AR2611,SRR11471443,0.787240548,4.445,10270305
CA0124,SRR11471419,0.787734267,20.082,finished
AR1214,SRR11471534,0.788229592,-0.971,10270306
AR1606,SRR11471502,0.788290123,-5.844,finished
AR1410,SRR11471513,0.788680178,10.373,10270307
AR0506,SRR11471406,0.901282949,-3.997,10270308
CA1406,SRR11471589,0.902986301,14.685,10270309
CA1103,SRR11471614,0.903898829,16.939,10270310
CA0112,SRR11471416,0.906423635,6.147,finished
CA1302,SRR11471602,0.906928862,13.054,finished
CA1020,SRR11471626,0.907680016,-0.628,finished
AR0809,SRR11471575,0.910094995,4.217,finished
CA1005,SRR11471625,0.911827041,11.206,finished
AR0103,SRR11471538,0.928336045,8.484,10270311
AR2714,SRR11471435,0.790489621,10.339,finished
CA0519,SRR11471653,0.793513664,3.782,finished
AR2704,SRR11471431,0.794088726,5.776,finished
AR2002,SRR11471485,0.794567731,9.042,finished
AR1601,SRR11471504,0.795042784,0.758,finished
AR1008,SRR11471554,0.796224409,16.075,finished
AR2007,SRR11471481,0.797081813,3.294,finished
AR2314,SRR11471460,0.798043284,4.811,finished
AR2716,SRR11471434,0.798363373,-5.645,finished
CA1402,SRR11471587,0.890775455,12.322,finished
CA0529,SRR11471651,0.891377743,4.483,finished
AR0308,SRR11471472,0.891676597,-0.357,10270312
AR0510,SRR11471628,0.891718188,1.071,finished
CA1211,SRR11471609,0.892124756,8.705,finished
CA0801,SRR11471642,0.894213501,9.477,10270313
AR0315,SRR11471516,0.895063465,10.943,10270314
CA1410,SRR11471592,0.897504975,9.404,10270315
AR0604,SRR11471580,0.899388748,-3.366,finished